product_id,product_name,product_category,customer_id,unit_price_jpy
P001,エンジン制御ユニット (ECU) Gen1,エンジン制御ユニット (ECU),CUS001,32000
P002,エンジン制御ユニット (ECU) Gen2,エンジン制御ユニット (ECU),CUS001,34000
P003,エンジン制御ユニット (ECU) Gen3,エンジン制御ユニット (ECU),CUS001,36000
P004,エンジン制御ユニット (ECU) Pro,エンジン制御ユニット (ECU),CUS001,38000
P005,エンジン制御ユニット (ECU) Lite,エンジン制御ユニット (ECU),CUS001,40000
P006,ボディコントロールモジュール (BCM) Gen1,ボディコントロールモジュール (BCM),CUS002,37000
P007,ボディコントロールモジュール (BCM) Gen2,ボディコントロールモジュール (BCM),CUS002,39000
P008,ボディコントロールモジュール (BCM) Gen3,ボディコントロールモジュール (BCM),CUS002,41000
P009,ボディコントロールモジュール (BCM) Pro,ボディコントロールモジュール (BCM),CUS002,43000
P010,ボディコントロールモジュール (BCM) Lite,ボディコントロールモジュール (BCM),CUS002,45000
P011,トランスミッション制御ユニット (TCU) Gen1,トランスミッション制御ユニット (TCU),CUS003,42000
P012,トランスミッション制御ユニット (TCU) Gen2,トランスミッション制御ユニット (TCU),CUS003,44000
P013,トランスミッション制御ユニット (TCU) Gen3,トランスミッション制御ユニット (TCU),CUS003,46000
P014,トランスミッション制御ユニット (TCU) Pro,トランスミッション制御ユニット (TCU),CUS003,48000
P015,トランスミッション制御ユニット (TCU) Lite,トランスミッション制御ユニット (TCU),CUS003,50000
P016,バッテリー管理システム (BMS) Gen1,バッテリー管理システム (BMS),CUS004,47000
P017,バッテリー管理システム (BMS) Gen2,バッテリー管理システム (BMS),CUS004,49000
P018,バッテリー管理システム (BMS) Gen3,バッテリー管理システム (BMS),CUS004,51000
P019,バッテリー管理システム (BMS) Pro,バッテリー管理システム (BMS),CUS004,53000
P020,バッテリー管理システム (BMS) Lite,バッテリー管理システム (BMS),CUS004,55000
P021,電動パワーステアリング制御器 (EPS-ECU) Gen1,電動パワーステアリング制御器 (EPS-ECU),CUS005,52000
P022,電動パワーステアリング制御器 (EPS-ECU) Gen2,電動パワーステアリング制御器 (EPS-ECU),CUS005,54000
P023,電動パワーステアリング制御器 (EPS-ECU) Gen3,電動パワーステアリング制御器 (EPS-ECU),CUS005,56000
P024,電動パワーステアリング制御器 (EPS-ECU) Pro,電動パワーステアリング制御器 (EPS-ECU),CUS005,58000
P025,電動パワーステアリング制御器 (EPS-ECU) Lite,電動パワーステアリング制御器 (EPS-ECU),CUS005,60000
P026,ABS制御ユニット Gen1,ABS制御ユニット,CUS001,57000
P027,ABS制御ユニット Gen2,ABS制御ユニット,CUS001,59000
P028,ABS制御ユニット Gen3,ABS制御ユニット,CUS001,61000
P029,ABS制御ユニット Pro,ABS制御ユニット,CUS001,63000
P030,ABS制御ユニット Lite,ABS制御ユニット,CUS001,65000
P031,エアバッグ制御ユニット Gen1,エアバッグ制御ユニット,CUS002,62000
P032,エアバッグ制御ユニット Gen2,エアバッグ制御ユニット,CUS002,64000
P033,エアバッグ制御ユニット Gen3,エアバッグ制御ユニット,CUS002,66000
P034,エアバッグ制御ユニット Pro,エアバッグ制御ユニット,CUS002,68000
P035,エアバッグ制御ユニット Lite,エアバッグ制御ユニット,CUS002,70000
P036,ADAS制御ユニット Gen1,ADAS制御ユニット,CUS003,67000
P037,ADAS制御ユニット Gen2,ADAS制御ユニット,CUS003,69000
P038,ADAS制御ユニット Gen3,ADAS制御ユニット,CUS003,71000
P039,ADAS制御ユニット Pro,ADAS制御ユニット,CUS003,73000
P040,ADAS制御ユニット Lite,ADAS制御ユニット,CUS003,75000
P041,インストルメントクラスター Gen1,インストルメントクラスター,CUS004,72000
P042,インストルメントクラスター Gen2,インストルメントクラスター,CUS004,74000
P043,インストルメントクラスター Gen3,インストルメントクラスター,CUS004,76000
P044,インストルメントクラスター Pro,インストルメントクラスター,CUS004,78000
P045,インストルメントクラスター Lite,インストルメントクラスター,CUS004,80000
P046,インフォテインメントシステム Gen1,インフォテインメントシステム,CUS005,77000
P047,インフォテインメントシステム Gen2,インフォテインメントシステム,CUS005,79000
P048,インフォテインメントシステム Gen3,インフォテインメントシステム,CUS005,81000
P049,インフォテインメントシステム Pro,インフォテインメントシステム,CUS005,83000
P050,インフォテインメントシステム Lite,インフォテインメントシステム,CUS005,85000
